Vernier Format 2
E1.txt 10/10/2022 10:44:50
Serie 1
Tiempo	Velocidad	
T	V	
s	m/s	

0,00	0,0	
0,05	0,0	
0,10	0,0	
0,15	0,0	
0,20	0,0	
0,25	0,0	
0,30	0,0	
0,35	0,0	
0,40	0,0	
0,45	0,0	
0,50	0,0	
0,55	0,1	
0,60	0,2	
0,65	0,3	
0,70	0,3	
0,75	0,4	
0,80	0,4	
0,85	0,5	
0,90	0,5	
0,95	0,6	
1,00	0,6	
1,05	0,7	
1,10	0,8	
1,15	0,8	
1,20	0,9	
1,25	0,9	
1,30	1,0	
1,35	1,0	
1,40	1,1	
1,45	1,1	
1,50	1,1	
1,55	1,2	
1,60	1,2	
1,65	1,3	
1,70	1,3	
1,75	1,3	
1,80	1,3	
1,85	1,3	
1,90	1,3	
1,95	1,4	
2,00	1,3	
2,05	1,3	
2,10	1,4	
2,15	1,4	
2,20	1,4	
2,25	1,4	
2,30	1,4	
2,35	1,4	
2,40	1,4	
2,45	1,3	
2,50	1,3	
2,55	1,3	
2,60	1,3	
2,65	1,3	
2,70	1,3	
2,75	1,3	
2,80	1,3	
2,85	1,3	
2,90	1,3	
2,95	1,3	
3,00	1,3	
3,05	1,3	
3,10	1,3	
3,15	1,2	
3,20	1,2	
3,25	1,2	
3,30	1,2	
3,35	1,2	
3,40	1,2	
3,45	1,2	
3,50	1,2	
3,55	1,2	
3,60	1,1	
3,65	1,1	
3,70	1,1	
3,75	1,1	
3,80	1,1	
3,85	1,1	
3,90	1,1	
3,95	1,1	
4,00	1,0	
4,05	1,0	
4,10	1,0	
4,15	1,0	
4,20	1,0	
4,25	1,0	
4,30	1,0	
4,35	1,0	
4,40	1,0	
4,45	1,0	
4,50	1,0	
4,55	1,0	
4,60	1,0	
4,65	1,0	
4,70	1,0	
4,75	1,0	
4,80	1,1	
4,85	1,1	
4,90	1,1	
4,95	1,1	
5,00	1,1	
5,05	1,1	
5,10	1,1	
5,15	1,1	
5,20	1,1	
5,25	1,1	
5,30	1,1	
5,35	1,1	
5,40	1,1	
5,45	1,1	
5,50	1,1	
5,55	1,1	
5,60	1,1	
5,65	1,1	
5,70	1,1	
5,75	1,1	
5,80	1,1	
5,85	1,1	
5,90	1,1	
5,95	1,1	
6,00	1,1	
6,05	1,1	
6,10	1,1	
6,15	1,1	
6,20	1,1	
6,25	1,1	
6,30	1,0	
6,35	1,0	
6,40	1,1	
6,45	1,0	
6,50	1,0	
6,55	1,0	
6,60	1,0	
6,65	1,0	
6,70	1,0	
6,75	1,0	
6,80	1,0	
6,85	1,0	
6,90	1,0	
6,95	1,0	
7,00	0,9	
7,05	0,9	
7,10	0,9	
7,15	0,9	
7,20	0,9	
7,25	0,9	
7,30	0,9	
7,35	0,9	
7,40	0,9	
7,45	0,9	
7,50	0,9	
7,55	0,9	
7,60	0,8	
7,65	0,8	
7,70	0,8	
7,75	0,8	
7,80	0,8	
7,85	0,8	
7,90	0,8	
7,95	0,8	
8,00	0,8	
8,05	0,8	
8,10	0,8	
8,15	0,7	
8,20	0,8	
8,25	0,7	
8,30	0,8	
8,35	0,7	
8,40	0,7	
8,45	0,7	
8,50	0,7	
8,55	0,7	
8,60	0,7	
8,65	0,7	
8,70	0,7	
8,75	0,7	
8,80	0,6	
8,85	0,7	
8,90	0,6	
8,95	0,6	
9,00	0,6	
9,05	0,6	
9,10	0,6	
9,15	0,6	
9,20	0,6	
9,25	0,6	
9,30	0,6	
9,35	0,6	
9,40	0,6	
9,45	0,6	
